Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score,Line
0.5994,0.098,0.0,0.902,"preciation the efforts made by the secretariat to develop and maintain an interim public registry pursuant to decision 1/cp.21 , paragraph 30 , 1. adopts the modalities and procedures for the operation and use of the public registry referred to in article 4 , paragraph 12 , of the paris agreement as"
0.802,0.17,0.0,0.83,"after referred to as the forum ) under the subsidiary bodies shall serve the paris agreement in relation to matters under the paris agreement ; 2. adopts the modalities , work programme and functions of the forum contained in the annex ; 3. acknowledges that there is one single forum that covers the"
0.5994,0.107,0.0,0.893,"diary body for scientific and technological advice in elaborating the technology framework in accordance with decision 1/cp.21 , paragraph 67 , 1. adopts the technology framework under article 10 , paragraph 4 , of the paris agreement as elaborated in th e annex ; 2. decides that the technology exec"
0.8519,0.197,0.0,0.803,"serving as the meeting of the parties to the paris agreement , recalling decision 1/cp.21 , in particular paragraph 69 , and decision 1/cp.23 , 1. adopts the scope of and modalities for the periodic assessment of the effectiveness and adequacy of the support provided to the technology mechanism in s"
0.5267,0.091,0.0,0.909,"eed it in the light of their capacities is reflected in the modalities , procedures and guidelines for the transparency of action and support , 1. adopts , pursuant to article 13 , paragraph 13 , of the paris agreeme nt , the modalities , procedures and guidelines for the transparency framework for"
0.9442,0.289,0.0,0.711,"the meeting of the parties to the paris agreement , recalling article 15 of the paris agreement and decision 1/cp.21 , paragraphs 102 and 103 , 1. adopts the modalities and procedures for the effective operation of the committee referred to in article 15 , paragraph 2 , of the paris agreement as con"
0.5267,0.099,0.0,0.901,"n accordance with the modalities , procedures and guidelines for the transparency framework for action and support referred to in article 13 ,2 1. adopts : ( a ) the guidance relating to decision 2/cma.3 , annex , chapter vi.a ( tracking ) , as contained in annex i ; ( b ) the guidelines for the art"
0.7269,0.131,0.0,0.869,"ress the mandates given by the conference of the parties serving as the meeting of the parties to the paris agre ement at its third session ; 2 7. adopts the rules of procedure of the supervisory body , contained in annex ii ; 8. requests the subsidiary body for scientific and technological advice t"
0.5994,0.1,0.0,0.9,"ed to in article 6 , paragraph 8 , of the paris agreement and in decision 4/cma.3 ; i. schedule for implementing the work progr amme activities 2. adopts the schedule for implementing the activities of the work programme under the framework for non -market approaches referred to in article 6 , parag"
0.5267,0.086,0.0,0.914,the operation of the santiago network and technical assistance ; 7. welcomes the pledges th at have already been made to the santiago network ; 8. adopts the terms of reference of the santiago network contained in annex i ; 9. decides to establish the advisory board of the santiago network as part o
-0.1027,0.04,0.049,0.911,"0 , 6/cp.21 , 8/cp.22 , 9/cp.22 , 8/cp.23 , 4/cp.24 , 11/cp.25 , 5/cp.26 , 5/cma.2 and 10/cma.3 , affirms decision 15/cp.27 , which , inter alia , adopts the terms of reference for the second review of the functions1 of the standing committee on finance . 10th plenary meeting 20 november 2022 . 1 pu"
0.7096,0.118,0.0,0.882,"he katowice committee on impacts annual reports for 2019 and 2021 –2022 by the forum on the impact of the implementation of response measures ; 3. adopts the recommendations forwarded by the forum contained in sections i –vi below , pertaining to : ( a ) lessons learned and best practices from analy"
