Line,Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score
0.9081,0.261,0.0,0.739,"ph 13 , of the paris agreement , parties shall account for their nationally determined contributions in accordance with the guidance contained in annex ii ; 14. recalls decision 1/cp.21 , paragraph 32 , which provides that parties shall apply the guidanc e for accounting for nationally determined co"
0.872,0.218,0.0,0.782,"ion and/or economic diversification plans consistent with article 4 , paragraph 7 , of the paris agreement shall follow the guidance contained in annex ii as it relates to such mitigation co -benefits ; 17. decides that parties shall account for their nationally determined contributions in their bie"
0.8074,0.211,0.0,0.789,"ntribution contributes towards article 2 , paragraph 1 ( a ) , and article 4 , paragraph 1 , of the paris agreement . fccc/pa/cma/2018/3/add.1 12 annex ii accounting for parties ’ nationally determined contributions , referred to in decision 1/cp.21 , paragraph 31 1. accounting for anthropogenic emi"
0.1779,0.033,0.0,0.967,". adopt the workplan of the forum on the im pact of the implementation of response measures and its katowice committee on impacts as contained in annex ii ; 4. decide that the forum on the impact of the implementation of response measures , in the context of the implementation of the workplan , may"
0.7506,0.127,0.0,0.873,"paris agreement , the provision of the convention , the kyoto protocol or the paris agreement shall take precedence . fccc/pa/cma/2019/6/add.1 17 annex ii workplan of the forum on the impact of the implementation of response measures and its katowice committee of experts on the impacts of the implem"
0.0,0.0,0.0,1.0,"; ( b ) the guidelines for the article 6 technical expert review referred to in decision 2/cma.3 , annex , chapter v ( review ) , as contained in annex ii ; ( c ) the outline of the article 6 technical expert review report referred to in decision 2/cma.3 , annex , chapter v ( review ) , paragraph 27"
0.0,0.0,0.0,1.0,"n tergovernmental organizations to nominate technical experts with the relevant qualifications to the unfccc roster of experts in accordance with annex ii , chapter xi ; 9. requests the secretariat to implement and maintain the training programme for technical ex perts participating in article 6 tec"
0.0,0.0,0.0,1.0,"cle 6 lead reviewers on the implementation of the training for technical experts participating in art icle 6 technical expert reviews pursuant to annex ii , chapter xi.c ; 10. also requests the secretariat to report to the subsidiary body for scientific and technological advice at its fifty -eighth"
0.5423,0.097,0.0,0.903,"ticipating party ; 14. invites the committee referred to in article 15 , paragraph 2 , to liaise with the article 6 lead reviewers referred to in annex ii , chapter xi.c , as needed , when cases of significant and persistent inconsistencies are identified and addressed by the committee in accordance"
-0.3818,0.057,0.113,0.83,"ormation ) ; 37. reiterates the principle of avoiding duplication of work and minimizing the burden on parties and the secretariat referred to in annex ii , paragraph 1 ( d ) , in relation to the article 6 technical expert review of cooperative a pproaches ; 38. requests the secretariat to prepare a"
0.4019,0.063,0.0,0.937,"aft annual information for voluntary use by parties . 1 as per decision 2/cma.3 , annex , chap . iv ( reporting ) . fccc/pa/cma/2022/ 10/add.2 13 annex ii * guidelines for the article 6 technical expert review referred to in decision 2/cma.3 , annex , chapter v ( review ) i. guiding principles 1. th"
0.8126,0.17,0.0,0.83,"d by the party under article 6 , paragraph 2 , with decision 2/cma.3 , annex , paragraphs 18 –19 , and any future relevant decisions by the cma ( annex ii , para . 2 ( a –b ) ) b. identification of capacity -building needs and areas of improvement for the party related to the implementation of artic"
0.7834,0.168,0.03,0.801,"capacity -building needs and areas of improvement for the party related to the implementation of article 6 , paragraph 2 , and decision 2/cma.3 ( annex ii , para . 7 ) c. recomme ndations identified by the technical expert review teams in previous technical reviews that the party has not resolved ii"
0.8126,0.17,0.0,0.83,"d by the party under article 6 , paragraph 2 , with decision 2/cma.3 , annex , paragraphs 21 –23 , and any future relevant decisions by the cma ( annex ii , para . 2 ( c –d ) ) b. identification of capacity -building needs and areas of improvement for the party related to the implementation of artic"
0.7834,0.172,0.031,0.797,"capacity -building needs and areas of improvement for the party related to the implementation of article 6 , paragraph 2 , and decision 2/cma.3 ( annex ii , para . 7 ) c. recommendations identified by the technical expert review teams in previous technical reviews that the party has not resolved iii"
0.2732,0.051,0.0,0.949,"n in mitigation and adaptation actions ) , if applicable ( para . 22 ( k ) , update to para . 18 ( i ) ( vi ) ) annex i on additional information annex ii for confidential information fccc/pa/cma/2022/ 10/add.2 29 annex vii * draft version of the agreed electronic format referred to in decision 2/cm"
0.5267,0.084,0.0,0.916,"e meeting of the parties to the paris agre ement at its third session ; 2 7. adopts the rules of procedure of the supervisory body , contained in annex ii ; 8. requests the subsidiary body for scientific and technological advice to continue its consideration of , and to develop , on the basis of the"
0.34,0.054,0.0,0.946,"er information consistent with decisions adopted by th e cma on reporting under article 6 ( para . 77 ( d ) ( iii ) of the mpgs ) ” of table 4 in annex ii to decision 5/cma.3 ; ( b ) include the relevant subtractions , determined in accordance with paragraph 23 above , in the row “ total quantitativ"
0.4019,0.065,0.0,0.935,"n iii.b , annex to decision 2/cma.3 ( application of correspondi ng adjustments ) ( para . 23 ( g ) , annex to decision 2/cma.3 ) ” of table 4 in annex ii to decision 5/cma.3 . iii . reporting by host parties on their article 6 , paragraph 4 , activities and the article 6 , paragraph 4 , emission re"
0.5423,0.101,0.0,0.899,"ith any relevant qualitative information , distinguishing between mandatory and voluntary cancellations for omge . fccc/ pa/cma/2022/ 10/add.2 46 annex ii rules of procedure of the supervisory body for the mechanism established by article 6 , paragraph 4 , of the paris agreement i. scope 1. these ru"
0.0,0.0,0.0,1.0,"2. requests the evaluation panel to prepare an evaluation report with a shortli st of up to three proposals that meet the criteria referred to in annex ii , including information on how the evaluation criteria have been applied to these proposals , and make the evaluation report available for consid"
0.6369,0.08,0.0,0.92,their fifty -eighth sessions a draft decision with one proposal to host the santiago network secretariat that best meets the criteria set out in annex ii for consider ation and adoption by the governing body or bodies at their session ( s ) to be held in november –december 2023 ; 24. further reques
0.3818,0.058,0.0,0.942,"e subject to the host organization satisfactorily fulfilling its functions . 7 as per decision 2/cma.2 , para . 46. fccc/pa/cma/2022/ 10/add.3 12 annex ii criteria to be used to evaluate proposals and select the host of the secretariat of the santiago network for averting , minimizing and addressing"
0.0,0.0,0.0,1.0,"/add.4 –fccc/pa/cma/2022/7 /add.4 . 3 https : //www4.unfccc.int/sites/submissionsstaging/pages/home.aspx . 4 fccc/cp/2022/8 –fccc/pa/cma/2022/7 , annex ii . fccc/pa/cma/2022/ 10/add.3 17 decision 15/cma.4 terms of reference for the second review of the functions of the standing committee on finance"
0.0,0.0,0.0,1.0,"eview at the fifty -eighth sessions of the subsidiary bodies ( june 2023 ) ; 1 document kci/2019/2/4 . 2 document fccc/sb/2022/6 . 3 contained in annex ii to decisions 4/cp.25 , 4/cmp.15 and 4/cma.2 . 4 available at https : //unfccc.int/documents/624251 . the content of the note does not represent c"
0.8074,0.177,0.0,0.823,"ation of effective policies ; 5 https : //www4.unfccc.int/sites/submissionsstaging/pages/home.aspx . 6 activity e of the workplan as contained in annex ii to decisions 4/cp.25 , 4/cmp.15 and 4/cma.2 . 7 identify country -driven strategies and best practices on just transition of the workforce and cr"
0.8126,0.17,0.0,0.83,"to track progress made in implementing and achieving nationally determined contributions under article 4 of the paris agreement , as contained in annex ii ; ( c ) the common tabular formats referred to in chapters v–vi of the annex to decision 18/cma.1 for the electronic reporting of the information"
0.4215,0.069,0.0,0.931,ions by sources and removals by sinks of greenhouse gases are available at https : //unfccc.int/documents/311076 . 1. fccc/pa/cma/2021/10/add.2 8 annex ii * common tabular formats for the electronic reporting of the information necessary to track progress made in implementing and achieving nationall
0.0,0.0,0.0,1.0,"cle 4 , and optionally for the first ndc under article 4 : b information on the accounting approach used is consistent with paragraphs 13 –17 and annex ii of decision 4/cma.1 ( para . 72 of the mpgs ) explain how the accounting for anthropogenic emissions and removals is in accordance with methodolo"
0.0,0.0,0.0,1.0,removals is in accordance with methodologies and common metrics assessed by the ipcc and in accordance with decision 18/cma.1 ( para . 1 ( a ) of annex ii to decision 4/cma.1 ) explain how consistency has been maintained between any ghg data and estimation methodologies used for accounting and the p
0.5423,0.127,0.052,0.821,"ounting and the party ’ s ghg inventory , pursuant to article 13 , paragraph 7 ( a ) , of the paris agreement , if applicable ( para . 2 ( b ) of annex ii to decision 4/cma.1 ) explain ho w overestimation or underestimation has been avoided for any projected emissions and removals used for accountin"
-0.34,0.0,0.058,0.942,explain ho w overestimation or underestimation has been avoided for any projected emissions and removals used for accounting ( para . 2 ( c ) of annex ii to decision 4/cma.1 ) for each ndc under article 4 : b accounting for anthropogenic emissions and removals in accordance with methodologies and c
0.7184,0.136,0.0,0.864,"eir own methodology used , including for ndcs , pursuant t o article 4 , paragraph 6 , of the paris agreement , if applicable ( para . 1 ( b ) of annex ii to decision 4/cma.1 ) provide information on methodologies used to track progress arising from the implementation of policies and measures , as a"
0.4215,0.067,0.0,0.933,"information on methodologies used to track progress arising from the implementation of policies and measures , as appropriate ( para . 1 ( d ) of annex ii to decision 4/cma.1 ) where applicable to its ndc , any sector - , category - or activity -specific assumptions , methodologies and approaches co"
0.4019,0.062,0.0,0.938,"guidance , as appropriate , or indicate the relevant section of the national ghg inventory report containing that information ( para . 1 ( e ) of annex ii to decision 4/cma.1 , para . 75 ( d ) ( i ) of the mpgs ) for parties that account for emissions and removals from harvested wood products , prov"
0.4019,0.057,0.0,0.943,"rvested wood products , provide detailed information on wh ich ipcc approach has been used to estimate emissions and removals ( para . 1 ( f ) of annex ii to decision 4/cma.1 , para . 75 ( d ) ( ii ) of the mpgs ) for parties that address the effects of age -class structure in forests , provide deta"
0.4019,0.057,0.0,0.943,", provide detailed information on the appr oach used and how this is consistent with relevant ipcc guidance , as appropriate ( para . 1 ( g ) of annex ii to decision 4/cma.1 , para . 75 ( d ) ( iii ) of the mpgs ) how the party has drawn on existing methods and guidance established under the conven"
0.4767,0.097,0.0,0.903,"ting methods and guidance established under the convention and its related legal instruments , as appropriate , if applicable ( para . 1 ( c ) of annex ii to decision 4/cma.1 ) any methodologies used to account for mitigation co - benefits of adaptation actions and/or economic diversification plans"
0.0,0.0,0.0,1.0,2021/10/add.2 12 reporting requirement description or reference to the relevant section of the btr and implementation of ndcs ( para . 2 ( a ) of annex ii to decision 4/cma.1 ) explain how consistency has been maintained between any ghg data and estimation methodologies used for accounting and the p
0.8225,0.189,0.0,0.811,"ounting and the party ’ s ghg inventory , pursuant to article 13 , paragraph 7 ( a ) , of the paris agreement , if applicable ( para . 2 ( b ) of annex ii to decisi on 4/cma.1 ) and explain methodological inconsistencies with the party ’ s most recent national inventory report , if applicable ( para"
0.4019,0.063,0.0,0.937,"cal changes to update reference points , reference levels or projections , the changes should reflect either of the following ( para . 2 ( d ) of annex ii to decision 4/cma.1 ) : technical changes related to technical corrections to the party ’ s inventory ( para . 2 ( d ) ( i ) of annex ii to decis"
0.6124,0.125,0.0,0.875,( d ) of annex ii to decision 4/cma.1 ) : technical changes related to technical corrections to the party ’ s inventory ( para . 2 ( d ) ( i ) of annex ii to decision 4/cma.1 ) technical changes related to improvements in accuracy that maintain methodological consistency ( para . 2 ( d ) ( ii ) of a
0.3182,0.057,0.0,0.943,i to decision 4/cma.1 ) technical changes related to improvements in accuracy that maintain methodological consistency ( para . 2 ( d ) ( ii ) of annex ii to decision 4/cma.1 ) explain how any methodological changes and technical updates made during the implementation of their ndc were transparently
0.0,0.0,0.0,1.0,"how any methodological changes and technical updates made during the implementation of their ndc were transparently reported ( para . 2 ( e ) of annex ii to decision 4/cma.1 ) striving to include all categories of anthropogenic emissions or removals in the ndc and , once a source , sink or activity"
0.0,0.0,0.0,1.0,"ies of anthropogenic emissions or removals in the ndc and , once a source , sink or activity is included , continuing to include it ( para . 3 of annex ii to decision 4/cma.1 ) : explain how all categories of anthropogenic emissions and removals corresponding to their ndc were accounted for ( para ."
0.4019,0.06,0.0,0.94,"4/cma.1 ) : explain how all categories of anthropogenic emissions and removals corresponding to their ndc were accounted for ( para . 3 ( a ) of annex ii to decision 4/cma.1 ) explain how party is striving to include all categories of anthropogenic emissions and removals in its ndc , and , once a s"
-0.34,0.0,0.052,0.948,"anthropogenic emissions and removals in its ndc , and , once a source , sink or activity is included , continue to include it ( para . 3 ( b ) of annex ii to decision 4/cma.1 ) provide an explanation of why any categories of anthropogenic emissions or removals are excluded ( para . 4 of annex ii to"
0.0772,0.054,0.048,0.898,"of annex ii to decision 4/cma.1 ) provide an explanation of why any categories of anthropogenic emissions or removals are excluded ( para . 4 of annex ii to dec ision 4/cma.1 ) each party that participates in cooperative approaches that involve the use of itmos towards an ndc under article 4 , or a"
-0.5574,0.0,0.077,0.923,"in its biennial transparency report annexes as outlined in the annex to decision 18/cma.1 annex i : technical annexes for redd+,17 as applicable annex ii : common reporting tables for the electronic reporting of the national inventory report of anthropogenic emissions by sources and removals by sin"
0.4019,0.107,0.051,0.842,"disaggregation • tables 4.2 –4.3 of volume 1 of the 2006 ipcc guidelines for national greenhouse gas inventories , including and excluding lulucf annex ii : uncertainty assessment ( flexibility provided to those developing country parties that need it in the light of their capacities as per para . 2"
0.4019,0.076,0.0,0.924,"w4.unfccc.int/sites/submissionsstaging/pages/home.aspx . 2 in response to decision 5/cma .2 , para . 10 . 3 fccc/cp/2021/10 –fccc/pa/cma/2021/7 , annex ii . fccc/pa/cma/2021/10/add.3 12 decision 11/cma.3 guidance to the green climate fund the conference of the parties serving as the meeting of the p"
0.0,0.0,0.0,1.0,"in accordance with decision 1/cp.21 , para . 61 . 2 fccc/cp/2020/5 and fccc/cp/2021/8 . 3 contained in green climate fund document gcf/b.27/21 , annex ii . available at https : //www.greenclimate.fun d/document/gcf -b27-21 . 4 available at https : //www.greenclimate.fund/document/guiding- principle"
0.34,0.064,0.0,0.936,"vely engaging with its members , task forces , observers and other relevant 1 fccc/sb/2020/4 and fccc/sb/2021/5 . 2 see document fccc/sb/2020/4 , annex ii . 3 pursuant to decision 8/cma.2 , para . 3 . 4 technology executive committee and climate technology centre and network . 2021. technology and n"
0.5267,0.086,0.0,0.914,"nd invites parties to implement them , as applicable ; 6. adopts the revised rules of procedure of the katowice committee on impacts contained in annex ii ; 7. recalls decision 7/cma.1 and the functions of the forum and notes that the forum , when considering the annual reports of the katowice commi"
0.0,0.0,0.0,1.0,"dies/constituted -bodies/kci . 2 see https : //unfccc.int/topics/mitigation/workstreams/response -measures/workshops -and-events . 3 contained in annex ii to decisions 4/cp.25 , 4/cmp.15 and 4/cma.2 . 4 decision 4/cma.2 , annex i. fccc/pa/cma/2021/10/add.3 45 10. requests the secretariat to organize"
0.4019,0.055,0.0,0.945,ives . this will enable parties to carry out their own assessments and analyses of the impacts of respon se measures.fccc/pa/cma/2021/10/add.3 47 annex ii revised rules of procedure of the katowice committee of experts on the impacts of the implementation of response measures i. scope 1. these rules
