Line,Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score
0.7096,0.116,0.0,0.884,idance to the operating entities of the financial mechanism – the green climate fund and the global environment facility – and on the least developed countries fund and the special climate change fund 6. confirms that the standing committee on finance shall serve the paris agreement ; 7. also confi
0.8442,0.171,0.0,0.829,al climate change fund 6. confirms that the standing committee on finance shall serve the paris agreement ; 7. also confirms that the least developed countries fund and the special climate change fund shall serve the paris agreement ; 8. requests the standing committee on finance to prepare draft g
0.7351,0.138,0.0,0.862,"committee on finance to prepare draft guidance for the entities entrusted with the operation of the financial mechanism , and on the least developed countries fund and the special climate change fund , for consideration and adoption by the conf erence of the parties serving as the meeting of the p"
0.4215,0.061,0.0,0.939,"the kci shall be composed of 14 members , with two members from each of the five united nations regional groups , one member from the least developed countries , one member from the small island developing states and two members f rom relevant intergovernmental organizations ; ( c ) members shall s"
0.5106,0.071,0.0,0.929,"sion 1/cp.21 , paragraphs 41 , 42 and 45 , noting with appreciation the technical work undertaken by the adaptation committee and the least developed countries expert group , in collaboration with the standing c ommittee on finance,1 in relation to decision 1/cp.21 , paragraphs 41 , 42 and 45 , i."
0.743,0.133,0.0,0.867,enhance the coherence of the work of adaptation - related institutional arrangements 1. decides that the adaptation committee and the least developed countries expert group shall serve the paris agreement ; 2. assigns any future and emerging adaptation -related work necessary for the effective impl
0.7506,0.159,0.0,0.841,"ding relevant scientific and technical information and sharing knowledg e ; 5. also invites the consultative group of experts and the least developed countries expert group , in line with their mandates , as appropriate , ensuring efficiency and consistency , to work together on training for assess"
0.6808,0.12,0.0,0.88,s for recognizing the adaptation efforts of developing country parties 8. notes the existing work of the adaptation committee and the least developed countries expert group related to synthesizing information on specific adaptation themes and on relevant lessons learned and good practices ; 9. requ
0.4019,0.06,0.0,0.94,"ptation efforts of developing country parties ; 13. requests the secretariat , under the guidance of the adaptation committee and the least developed countries expert group and in collaboration with relevant stakeholders , to prepare synthesis reports every two years starting in 2020 on specific ad"
0.7579,0.161,0.0,0.839,"the paris committee on capacity -building , to consider , taking into account the recommendations of the adaptation committee and the least developed countries exper t group,5 as well as relevant submissions from parties and observer organizations , ways to facilitate the mobilization of support fo"
0.8225,0.189,0.0,0.811,"sist the least developed country parties and other developing country parties , drawing on the work of the adaptation committee , the least developed countries expert group an d other relevant bodies , as appropriate , in building or strengthening their enabling environments , policy frameworks , i"
0.0772,0.063,0.056,0.882,"ng the adequacy and effectiveness of adaptation and support 32. notes the constraints encountered by the adaptation committee and the least developed countries expert group in developing methodologies , including the differences in national circumstances in relation to adaptation , the difficulty o"
0.0,0.0,0.0,1.0,"d other relevant stakeholders to undertake further technical work , building on the existing work of the adaptation committee and the least developed countries expert group , in collaboration with the standing committee on finance , and taking i nto consideration ongoing relevant work under and out"
0.4019,0.062,0.0,0.938,"hodologies for reviewing the adequacy and effectiveness of adaptation and support ; 35. also invites the adaptation committee and the least developed countries expert group , in collaboration with the standing committee on finance , and relevant experts to contribute to the technical work referred"
0.6124,0.133,0.0,0.867,"elevant organizations , as well as bilateral and multilateral agencies , to submit by april 2020 to the adaptati on committee and the least developed countries expert group information on gaps , challenges , opportunities and options associated with methodologies for reviewing the adequacy and effe"
-0.101,0.09,0.098,0.813,"ose that are particularly vulnerable to the adverse effects of climate change and have significant capacity constraints , such as the least developed countries and small island developing states , considering the need for public and grant -based resour ces for adaptation ; ( k ) information on acti"
0.4019,0.07,0.0,0.93,"participation of all relevant stakeholders and takes into account sustainable development , gender , the special circumstances of the least developed countries and small island developing state s , and the enhancement of indigenous capacities and endogenous technologies ; ( c ) be results -oriented"
