Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score,Line
0.743,0.173,0.0,0.827,a ) increase the visibility and profile of adaptation and its balance with mitigation ; ( b ) strengthen adaptation action and support for developing countries ; ( c ) provide input to the global stocktake ; ( d ) enhance learning and understanding of adaptation needs and actions ; 2. decides that
0.4215,0.076,0.0,0.924,"ies ; ( e ) implementation of adaptation actions and plans , including : ( i ) progress and results achieved ; ( ii ) adaptation efforts of developing countries for recognition ; ( iii ) cooperation on enhancing adaptation at the national , regional and international level , as appropriate ; ( iv )"
0.3412,0.057,0.0,0.943,"owledges that adaptation efforts contribute to this objective ; iii . methodologies for assessing adaptation needs with a view to assisting developing countries without placing undue burden on them 15. requests the adaptation committee , in collaboration with the least develo ped countries expert gr"
0.4019,0.059,0.0,0.941,"building adapt ive capacity ; iv . methodologies for taking the necessary steps to facilitate the mobilization of support for adaptation in developing countries 21. invites the standing committee on finan ce , in line with its mandate and in collaboration with the technology executive committee and"
0.9001,0.236,0.0,0.764,"as well as relevant submissions from parties and observer organizations , ways to facilitate the mobilization of support for adaptation in developing countries , in the context of the limit to the increase in the global average temperature referred to in article 2 of the paris agreement , and to in"
0.6124,0.122,0.0,0.878,"is should include : ( a ) enhanced information to increase clarity on the projected levels of public financial resources to be pr ovided to developing countries , as available ; ( b ) indicative quantitative and qualitative information on programmes , including projected levels , channels and instru"
0.4019,0.059,0.0,0.941,"building ; ( e ) information on the factors that providers of climate finance look for in evaluating proposals , in order to help to inform developing countries ; ( f ) an indication of new and additional resources to be provided , and how it determines such resources as being new and additional ; ("
0.9153,0.257,0.0,0.743,"g country parties and supports country -driven strategies ; ( m ) information on how support provided and mobilized is targeted at help ing developing countries in their efforts to meet the long -term goals of the paris agreement , including by assisting them in efforts to make finance flows consist"
0.25,0.124,0.066,0.811,"year in the context of meaningful mitigation actions and transparency of implementation and taking into account the needs and priorities of developing countries ; 2. agrees to consider , in its deliberations referred to in paragraph 1 abo ve , the aim to strengthen the global response to the threat"
0.5719,0.122,0.039,0.839,"and avoids duplication of work ; ( j ) enhancing the capacity of national designated entities ( ndes ) of all parties , especially those in developing countries , to fulfil th eir roles ; ( k ) enhancing the capacities of parties to plan , monitor and achieve technological transformation in accordan"
0.7184,0.15,0.0,0.85,"gy development and transfer , including in relation to : ( i ) the implementation of its three core services : responding t o requests from developing countries ; fostering collaboration and sharing of information ; and strengthening networks , partnerships and capacity -building ; ( ii ) its instit"
0.9485,0.36,0.0,0.64,"scale and types of cooperation and good practices ; ( vi ) improving dura bility and effectiveness of adaptation actions ; ( vii ) helping developing countries to identify effective adaptation practices , needs , priorities , and challenges and gaps in a way that is consistent with encouraging good"
0.8074,0.172,0.0,0.828,"country parties to mobilize support for capacity -building so that the least developed countries , small island developing states and other developing countries can effectively participate in the global stocktake and take up relevant global stocktake information ; 13. decides that the outputs of the"
0.5106,0.165,0.061,0.775,"adverse effects of climate change ; ( f ) barriers and challenges , including finance , technology4 and capacity -building gaps , faced by developing countries ; ( g ) good practices , experience and potential opportunities to enhance international cooperation on mitigation and adaptation and to in"
0.8402,0.191,0.0,0.809,"agreement related to finance , technology transfer and capacity -building to address the mitigation and adaptation needs and priorities of developing countries ; 16. urges developed country pa rties to provide financial resources to assist developing country parties with respect to both mitigation"
-0.8479,0.0,0.216,0.784,"established to address loss and damage associated with the impacts of climate change , including extreme events and slow onset events , in developing countries that are particularly vulnerable to the adverse effects of climate change , also recalling decisions 3/cp.18 , 2/cp.19 , 2/cp.20 , 1/cp.21"
-0.624,0.099,0.215,0.686,"change , also recognizing the importance of the warsaw international mechanism for averting , minimizing and addressing loss and damage in developing countries that are particularly vulnerable to the adverse effects of climate change , recalling that the conference of the parties at its twenty -sec"
0.6142,0.215,0.1,0.685,"ability , increasing resilience and coordinated action , and monitoring progress ; 15. recognizes the importance of particularly vulnerable developing countries and segments of the population that are already vulnerable owing to geography , socioeconomic status , livelihood , gender , age , indigeno"
-0.7574,0.056,0.213,0.731,"o recognizes the urgency of enhancing the mobilization of action and support , including finance , technolog y and capacity -building , for developing countries that are particularly vulnerable to the adverse effects of climate change for averting , minimizing and addressing loss and damage associat"
-0.7574,0.054,0.204,0.742,"ate change ; 32. urges the scaling -up of action and support , as appropriate , including finance , technology and capacity -building , for developing countries that are particularly vulnerable to the adverse effects of climate change for averting , minimizing and addressing loss and damage associat"
-0.7574,0.055,0.208,0.736,"funds and other stakeholders to scale up action and support , as appropriate , including finance , technology and capacity - building , for developing countries that are particularly vulnerable to the adverse effects of climate change for averting , minimizing and addressing loss and damage associat"
-0.2006,0.114,0.149,0.737,"under and outside the convention and the paris agreement to scale up support , including finance , technology and capacity -building , for developing countries that are particularly vulnerable to the adv erse effects of climate change for averting , minimizing and addressing loss and damage associa"
