Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score,Line
0.8807,0.237,0.0,0.763,"hance the capacity of developing count ry parties in preparing , communicating and accounting for their nationally determined contributions ; 2. encourages the relevant operating entities of the financial mechanism and constituted bodies under the convention serving the paris agreement to continue t"
0.9217,0.315,0.0,0.685,"ary for clarity , transparency and understanding contained in annex i as applicable to their nationally determined contri butions , and strongly encourages parties to provide this information in relation to their first nationally determined contribution , including when communicating or updating it"
0.8074,0.179,0.0,0.821,"mitting an adaptation communication , tailor the information provided , ta king into account the specific communications or documents used ; 10. encourages parties to clearly identify the part of the communication or document chosen , in accordance with article 7 , paragraph 11 , that constitutes th"
0.7906,0.182,0.0,0.818,"icle 7 , paragraph 11 , that constitutes their adaptation communication , and to nu mber their adaptation communications sequentially ; 11. also encourages parties that choose to submit an adaptation communication as a component of or in conjunction with a nationally determined contribution to use t"
0.8658,0.224,0.0,0.776,"18/3/add.1 25 determined contribution as referred to in article 4 , paragraph 2 , of the paris agreement , and/or a national communication ; 21. encourages the green climate fund , the global environment facility , the adaptation fund , the climate tec hnology centre and network and the paris commit"
0.8481,0.199,0.0,0.801,"any future and emerging adaptation -related work necessary for the effective implementation of the paris agreement to existing institutions ; 3. encourages institutional arrangements related to finance , technology devel opment and transfer and capacity -building,2 in line with their mandates , to s"
0.8074,0.165,0.0,0.835,"oped country parties to submit the biennial communications referred to in paragr aph 2 above and as specified in the annex starting in 2020 ; 5. encourages other parties providing resources to communicate biennially , as referred to in paragraph 2 above , on a voluntary basis ; 6. requests the secre"
0.7964,0.196,0.05,0.754,ill be referred to as action for climate empowerment focal points in the context of the paris agreement as well ; fccc/pa/cma/2018/3/add.2 16 4. encourages parties that have not already designated an action for climate empowerment focal point to do so and to provide the necessary institutional suppo
0.872,0.228,0.0,0.772,"mpowerment focal point to do so and to provide the necessary institutional support for the focal point ’ s activities , as appropriate ; 5. also encourages parties to continue to promote the systematic integration of gender - sensitive an d participatory education , training , public awareness , pub"
0.6808,0.141,0.0,0.859,"mpowerment youth forum,2 when developing and implementing action for climate empowerment , taking into consideration national circumstances ; 8. encourages parties to include , as appropriate , information on how education , training , public awareness , public participation , public access to infor"
0.8316,0.188,0.0,0.812,"ticipation , public access to information , and regional and international cooperation in the context of article 14 of the paris agreement ; 10. encourages parties to foster public participation and collaborate with , inter alia , regional as applicable and local authorities , the scientific communi"
0.936,0.318,0.0,0.682,"out its replenishment cycles , to support developing country parties in preparing their first and subsequent b iennial transparency reports ; 9. encourages the global environment facility to consider options for improving the efficiency of the process for providing support for reporting under articl"
0.872,0.218,0.0,0.782,gh the same application in each replenishment period ; 10. urges the global environment facility and its implementing and executing agencies and encourages the global environment facility council to consider options for improving the efficiency of the process for providing support for reporting unde
0.7717,0.18,0.043,0.777,"ntury long -term low greenhouse gas emission development strategies in accordance with article 4 , paragraph 19 , of the paris agreement ; 1 12. encourages parties to submit their first adaptation communication a s soon as possible , in accordance with decision 9/cma.1 , so as to provide timely inpu"
0.9201,0.271,0.0,0.729,"loping country parties with respect to both mitigation and adaptation , in continuation of their existing obligations under the convention , and encourages other parties to provide or continue to provide suc h support voluntarily ; 17. recalls that the provision of scaled -up financial resources sho"
0.4019,0.156,0.104,0.74,"o easily use and integrate these outputs into planning and implementing approaches to averting , minimizing and addressing loss and damage ; 11. encourages the executive committee to communicate its outputs in formats that are easy to translate , adapt and access in different contexts and by differe"
0.8442,0.295,0.132,0.572,ring the sharing of relevant knowledg e and experience among practitioners and vulnerable countries in an interactive and practical manner ; 13. encourages parties to establish a loss and damage contact point through their respective national focal point ; 5 14. invites parties to promote coherence
0.4404,0.075,0.0,0.925,", and fccc/sbsta/2019/2 , annex . 4 fccc/sb/2019/5 and add.1 . 5 pursuant to decision 4/cp.22 , para . 4 ( d ) . fccc/pa/cma/2019/6/add.1 6 16. encourages the executive committee to take i nto account when updating its five -year rolling workplan areas of work that may require short - , medium - an"
0.5267,0.18,0.111,0.709,"rtnership with relevant organizations , to identify ways of integrating loss and damage into relevant work and guidelines , as appropriate ; 19. encourages relevant constituted bodies , networks and work programmes under the convention and the paris agreement , within their respective mandates and w"
0.802,0.16,0.0,0.84,"work , to draw upon the work of and involve , as appropriate , relevant constituted bodies , networks and work programmes , as appropriate ; 22. encourages the executive committee to dr aw upon the work , information and expertise of bodies under the convention and the paris agreement , as well as o"
0.5106,0.19,0.119,0.691,"aising awareness of averting , minimizing and addressing loss and damage associated with climate change impacts ; fccc/pa/cma/2019/6/add.1 7 28. encourages the executive committee , parties , relevant constituted bodies and organizations under and outside the convention and the paris agreement and o"
0.8519,0.194,0.023,0.784,that considerations related to the governance of the warsaw international mechanism will continue at its third session ( november 2020 ) ; 8 48. encourages parties to make available sufficient resources for the successful and timely implementation of the five -year rolling workplan of the executive
