Line,Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score
0.9626,0.377,0.0,0.623,"most all parties to the convention ; 3. congratulates parties to the convention that have ratified , accepted or approved the paris agreement and invites those that have not done so to deposit their instruments of ratification , acceptance , approval or accession , where appropriate , with the depo"
0.8442,0.171,0.0,0.829,seeing the implementation of the work programme under the paris agreement in accordance with the arrangements contai ned in decision 1/cp.21 ; 5. invites the conference of the parties to continue to oversee the implementation of the work programme under the paris agreement in accordance with the ar
0.6597,0.109,0.0,0.891,"ed in conjunction with the twenty -fourth session of the conference of the parties ( december 2018 ) for its consideration and adoption ; 6. also invites the conference of the parties to continue to oversee the work on further guidance in relation to the adaptation communication , including , inter"
0.8074,0.162,0.0,0.838,"lly determined con tributions , referred to in article 7 , paragraphs 10 and 11 , of the paris agreement ; fccc/pa/cma/2016/ 3/add.1 3 7. further invites the conference of the parties to continue to oversee the work on the development of modalities and procedures for the operation and use of a publ"
0.7096,0.123,0.0,0.877,"of modalities and procedures for the operation and use of a public registry referred to in article 7 , paragraph 12 , of the paris agreement ; 8. invites the conference of the parties to request the subsidiary body for scientific and technological advice , the subsidiary body for implementation , t"
0.8225,0.152,0.0,0.848,"tion iii of decision 1/cp.21 , and to forward the outcomes to the conference of the parties at its twe nty-fourth session at the latest ; 9. also invites the conference of the parties to request the ad hoc working group on the paris agreement to continue its consideration of possible additional mat"
0.9477,0.346,0.0,0.654,"cp.21 , 1/cp.22 , 1/cp.23 and 1/cp.24 , 1. congratulates parties that have ratified , accepted , approved or acceded to the paris agreement , and invites those that have not yet done so to deposit their instruments of ratification , acceptance , approval or accession , where appropriate , with the"
0.8225,0.17,0.0,0.83,"ing the paris agreement to continue t o provide , within their mandates , support for capacity -building as referred to in paragraph 1 above ; 3. invites other organizations in a position to do so to provide support for capacity - building as referred to in paragraph 1 above ; 4. recalls that the l"
0.4019,0.053,0.0,0.947,"ts , to be held for two days , in conjunction with the sessions of the subsidiary bodies starting from their fiftieth sessions ( june 2019 ) ; 8. invites parties to nominate members to serve on the katowice committee on impacts , noting that the chairs of the subsidiary bodies shall be notified of"
0.4019,0.053,0.0,0.947,"e workplan of the forum , starting from the ir fifty-sixth sessions ( june 2022 ) , with a view to enhancing the effectiveness of the forum ; 11. invites parties to submit their views on the workplan of the forum and the katowice committee on impacts via the submission portal1 by 15 april 2019 ; 12"
