Line,Compound Sentiment Score,Positive Sentiment Score,Negative Sentiment Score,Neutral Sentiment Score
0.8225,0.177,0.0,0.823,"ntities of the financial mechanism and constituted bodies under the convention serving the paris agreement to continue t o provide , within their mandates , support for capacity -building as referred to in paragraph 1 above ; 3. invites other organizations in a position to do so to provide support f"
0.4215,0.076,0.0,0.924,"raphs 36 –40 , 1. notes the consideration by the subsidiary body for scientific and technological advice and the conference of the parties of the mandates contained in decision 1/cp.21 , paragraphs 36 –40 ; 1 2. also notes that draft decision texts on these matters in the proposal by the president2"
-0.0191,0.0,0.024,0.976,"ties could not reach consensus thereon ; 3. requests the subsidiary body for scientific and technological advice to continue consideration of the mandates referred to in paragraph 1 above , taking into consideration the draft decision texts referred to in paragraphs 1 and 2 above , with a view to fo"
0.7906,0.163,0.0,0.837,"ty , the adaptation fund , the climate tec hnology centre and network and the paris committee on capacity -building , in line with their existing mandates and governing instruments , to continue channelling support to developing country parties for the implementation of their adaptation plans and ac"
0.7269,0.142,0.0,0.858,"; 3. encourages institutional arrangements related to finance , technology devel opment and transfer and capacity -building,2 in line with their mandates , to strive for a balance between adaptation and mitigation while respecting a country -driven approach ; 4. invites partner organizations of the"
0.6705,0.156,0.04,0.803,"on and sharing knowledg e ; 5. also invites the consultative group of experts and the least developed countries expert group , in line with their mandates , as appropriate , ensuring efficiency and consistency , to work together on training for assessing vulnerability and other aspects o f adaptatio"
0.4019,0.063,0.0,0.937,"ther invites the paris committee on capacity -building and providers of capacity - building support , as appropriate and in accordance with their mandates , while further enhancing capacity -building efforts , to facilitate the access to and implementation of methodologies for assessing the adaptati"
0.8807,0.215,0.0,0.785,"nts and modalities being developed under the paris agreement ; 28. invites the operating entities of the financial mechanism , in line with their mandates , to seek to ensure that the provision of fi nancial support to developing country parties is balanced between adaptation and mitigation activiti"
0.7845,0.172,0.0,0.828,"ion activities ; 29. requests the technology executive committee and the climate technology centre and network to facilitate , in line with their mandates , the provision of support for technology development and transfer for adaptation in developing country parties , promoting a balance between ada"
0.8442,0.189,0.0,0.811,". decides that the technology executive committee and the climate technology centre and network , consistent ly with their respective functions , mandates and modalities of work , shall implement the technology framework in close collaboration under the guidance of the conference of the parties serv"
0.7096,0.141,0.0,0.859,"21 , paragraph 69 . 2 see document fccc/sbi/2016/8 , paragraph 94 . 3 decision 15/cma.1 . fccc/pa/cma/2018/3/add.2 13 ( l ) responded to existing mandates under the paris agreement and to guidance from parties . 3. to undertake the assessment of effectiveness referred to in paragraph 2 above , the w"
0.4404,0.165,0.108,0.727,"ums , engaging relevant constituted bodies , networks and work programmes under the conve ntion and the paris agreement , within their respective mandates and workplans and in partnership with relevant organizations , to identify ways of integrating loss and damage into relevant work and guidelines"
0.5267,0.177,0.109,0.714,"19. encourages relevant constituted bodies , networks and work programmes under the convention and the paris agreement , within their respective mandates and workplans and in collaboration with the executive committee , to integrate loss and damage , where appropriate , into their work ; 20. acknow"
0.7845,0.165,0.0,0.835,"the par is agreement , including through the operating entities of the financial mechanism , as appropriate , to the extent consistent with their mandates ; 37. requests the executive committee to further engage and strengthen its dialogue with the standing committee on f inance by providing input i"
0.8834,0.208,0.0,0.792,"fforts and activities take place under a range of constituted bodies under the convention and the paris agreement , in line with their respective mandates , as well as by various bodies and actors outside the convention and the paris agreement ; 3. decides that the paris committee on capacity -build"
0.0,0.0,0.0,1.0,"ng capacity -building in developing countries and to enhance the coherence and coordination of capacity -building in accordance with the relevant mandates and activities of those bodies ; 6. requests the secretariat to include , in its annual compilation and synthesis report on the capacity -buildin"
